"","Product_Id","Category_1","Category_2","Category_3","Product_Name","Discounted_Price","Actual_Price","Price_difference","Discount_Percentage","Rating","Rating_Score","Rating_Count","alt_color"
"1","B07JW9H4J1","Computers & Accessories","Accessories & Peripherals","Cables & Accessories","Wayona Nylon Braided USB to Lightning Fast Charging and Data Sync Cable Compatible for iPhone 13, 12,11, X, 8, 7, 6, 5, iPad Air, Pro, Mini (3 FT Pack of 1, Grey)",399,1099,700,0.0064,4.2,"Above Average",24269,"Color2"
"2","B098NS6PVG","Computers & Accessories","Accessories & Peripherals","Cables & Accessories","Ambrane Unbreakable 60W / 3A Fast Charging 1.5m Braided Type C Cable for Smartphones, Tablets, Laptops & other Type C devices, PD Technology, 480Mbps Data Sync, Quick Charge 3.0 (RCT15A, Black)",199,349,150,0.0043,4,"Above Average",43994,"Color1"
"3","B096MSW6CT","Computers & Accessories","Accessories & Peripherals","Cables & Accessories","Sounce Fast Phone Charging Cable & Data Sync USB Cable Compatible for iPhone 13, 12,11, X, 8, 7, 6, 5, iPad Air, Pro, Mini & iOS Devices",199,1899,1700,0.009,3.9,"Average",7928,"Color2"
"4","B08HDJ86NZ","Computers & Accessories","Accessories & Peripherals","Cables & Accessories","boAt Deuce USB 300 2 in 1 Type-C & Micro USB Stress Resistant, Tangle-Free, Sturdy Cable with 3A Fast Charging & 480mbps Data Transmission, 10000+ Bends Lifespan and Extended 1.5m Length(Martian Red)",329,699,370,0.0053,4.2,"Above Average",94363,"Color1"
"5","B08CF3B7N1","Computers & Accessories","Accessories & Peripherals","Cables & Accessories","Portronics Konnect L 1.2M Fast Charging 3A 8 Pin USB Cable with Charge & Sync Function for iPhone, iPad (Grey)",154,399,245,0.0061,4.2,"Above Average",16905,"Color2"
"6","B08Y1TFSP6","Computers & Accessories","Accessories & Peripherals","Cables & Accessories","pTron Solero TB301 3A Type-C Data and Fast Charging Cable, Made in India, 480Mbps Data Sync, Strong and Durable 1.5-Meter Nylon Braided USB Cable for Type-C Devices for Charging Adapter (Black)",149,1000,851,0.0085,3.9,"Average",24871,"Color1"
"7","B08WRWPM22","Computers & Accessories","Accessories & Peripherals","Cables & Accessories","boAt Micro USB 55 Tangle-free, Sturdy Micro USB Cable with 3A Fast Charging & 480mbps Data Transmission (Black)",176.63,499,322.37,0.0065,4.1,"Above Average",15188,"Color2"
"8","B08DDRGWTJ","Computers & Accessories","Accessories & Peripherals","Cables & Accessories","MI Usb Type-C Cable Smartphone (Black)",229,299,70,0.0023,4.3,"Above Average",30411,"Color1"
"9","B008IFXQFU","Computers & Accessories","Networking Devices","Network Adapters","TP-Link USB WiFi Adapter for PC(TL-WN725N), N150 Wireless Network Adapter for Desktop - Nano Size WiFi Dongle Compatible with Windows 11/10/7/8/8.1/XP/ Mac OS 10.9-10.15 Linux Kernel 2.6.18-4.4.3",499,999,500,0.005,4.2,"Above Average",NA,"Color2"
"10","B082LZGK39","Computers & Accessories","Accessories & Peripherals","Cables & Accessories","Ambrane Unbreakable 60W / 3A Fast Charging 1.5m Braided Micro USB Cable for Smartphones, Tablets, Laptops & Other Micro USB Devices, 480Mbps Data Sync, Quick Charge 3.0 (RCM15, Black)",199,299,100,0.0033,4,"Above Average",43994,"Color2"
"11","B08CF3D7QR","Computers & Accessories","Accessories & Peripherals","Cables & Accessories","Portronics Konnect L POR-1081 Fast Charging 3A Type-C Cable 1.2Meter with Charge & Sync Function for All Type-C Devices (Grey)",154,339,185,0.0055,4.3,"Above Average",13391,"Color1"
"12","B0789LZTCJ","Computers & Accessories","Accessories & Peripherals","Cables & Accessories","boAt Rugged v3 Extra Tough Unbreakable Braided Micro USB Cable 1.5 Meter (Black)",299,799,500,0.0063,4.2,"Above Average",94363,"Color2"
"13","B07KSMBL2H","Electronics","Home Theater, TV & Video","Accessories","AmazonBasics Flexible Premium HDMI Cable (Black, 4K@60Hz, 18Gbps), 3-Foot",219,700,481,0.0069,4.4,"Above Average",NA,"Color2"
"14","B085DTN6R2","Computers & Accessories","Accessories & Peripherals","Cables & Accessories","Portronics Konnect CL 20W POR-1067 Type-C to 8 Pin USB 1.2M Cable with Power Delivery & 3A Quick Charge Support, Nylon Braided for All Type-C and 8 Pin Devices, Green",350,899,549,0.0061,4.2,"Above Average",2262,"Color1"
"15","B09KLVMZ3B","Computers & Accessories","Accessories & Peripherals","Cables & Accessories","Portronics Konnect L 1.2M POR-1401 Fast Charging 3A 8 Pin USB Cable with Charge & Sync Function (White)",159,399,240,0.006,4.1,"Above Average",4768,"Color2"
"16","B083342NKJ","Computers & Accessories","Accessories & Peripherals","Cables & Accessories","MI Braided USB Type-C Cable for Charging Adapter (Red)",349,399,50,0.0013,4.4,"Above Average",18757,"Color1"
"17","B0B6F7LX4C","Electronics","Home Theater, TV & Video","Televisions","MI 80 cm (32 inches) 5A Series HD Ready Smart Android LED TV L32M7-5AIN (Black)",13999,24999,11000,0.0044,4.2,"Above Average",32840,"Color1"
"18","B082LSVT4B","Computers & Accessories","Accessories & Peripherals","Cables & Accessories","Ambrane Unbreakable 60W / 3A Fast Charging 1.5m Braided Type C to Type C Cable for Smartphones, Tablets, Laptops & Other Type C Devices, PD Technology, 480Mbps Data Sync (RCTT15, Black)",249,399,150,0.0038,4,"Above Average",43994,"Color2"
"19","B08WRBG3XW","Computers & Accessories","Accessories & Peripherals","Cables & Accessories","boAt Type C A325 Tangle-free, Sturdy Type C Cable with 3A Rapid Charging & 480mbps Data Transmission(Black)",199,499,300,0.006,4.1,"Above Average",13045,"Color1"
"20","B08DPLCM6T","Electronics","Home Theater, TV & Video","Televisions","LG 80 cm (32 inches) HD Ready Smart LED TV 32LM563BPTC (Dark Iron Gray)",13490,21990,8500,0.0039,4.3,"Above Average",11976,"Color2"
"21","B09C6HXFC1","Computers & Accessories","Accessories & Peripherals","Cables & Accessories","Duracell USB Lightning Apple Certified (Mfi) Braided Sync & Charge Cable For Iphone, Ipad And Ipod. Fast Charging Lightning Cable, 3.9 Feet (1.2M) - Black",970,1799,829,0.0046,4.5,"Above Average",815,"Color2"
"22","B085194JFL","Electronics","Home Theater, TV & Video","Accessories","tizum HDMI to VGA Adapter Cable 1080P for Projector, Computer, Laptop, TV, Projectors & TV",279,499,220,0.0044,3.7,"Average",10962,"Color1"
"23","B09F6S8BT6","Electronics","Home Theater, TV & Video","Televisions","Samsung 80 cm (32 Inches) Wondertainment Series HD Ready LED Smart TV UA32T4340BKXXL (Glossy Black)",13490,22900,9410,0.0041,4.3,"Above Average",16299,"Color2"
"24","B09NHVCHS9","Computers & Accessories","Accessories & Peripherals","Cables & Accessories","Flix Micro Usb Cable For Smartphone (Black)",59,199,140,0.007,4,"Above Average",9378,"Color1"
"25","B0B1YVCJ2Y","Electronics","Home Theater, TV & Video","Televisions","Acer 80 cm (32 inches) I Series HD Ready Android Smart LED TV AR32AR2841HDFL (Black)",11499,19990,8491,0.0042,4.3,"Above Average",4703,"Color1"
"26","B01M4GGIVU","Electronics","Home Theater, TV & Video","Accessories","Tizum High Speed HDMI Cable with Ethernet | Supports 3D 4K | for All HDMI Devices Laptop Computer Gaming Console TV Set Top Box (1.5 Meter/ 5 Feet)",199,699,500,0.0072,4.2,"Above Average",12153,"Color2"
"27","B08B42LWKN","Electronics","Home Theater, TV & Video","Televisions","OnePlus 80 cm (32 inches) Y Series HD Ready LED Smart Android TV 32Y1 (Black)",14999,19999,5000,0.0025,4.2,"Above Average",34899,"Color1"
